pmid,pubmed_url,year,title,journal,abstract,keywords,mesh_terms,publication_types,entities,relations
8731565,https://pubmed.ncbi.nlm.nih.gov/8731565/,1996,Non-insulin-dependent diabetes mellitus: dietary monounsaturated fatty acids and low-density lipoprotein composition and function.,QJM : monthly journal of the Association of Physicians,"Alterations in low-density lipoprotein (LDL) composition in diabetes affect its function with respect to control of de novo cholesterol synthesis. We examined the effect of 4 weeks of an oleic-acid-rich diet on LDL composition and function in eight Type 2 diabetic and eight non-diabetic control subjects. LDL (density 1.019-1.063 g/l) was isolated by sequential ultracentrifugation. LDL composition was measured and LDL fatty acids were determined by gas liquid chromatography. Cholesterol synthesis was measured by [14C]-acetate incorporation into the freshly isolated mononuclear leucocytes. Fasting blood glucose fell from 9.3 +/- 2.0 to 8.2 +/- 1.2 mmol/l (p < 0.05) and fasting serum insulin increased from 8.3 +/- 2.8 to 10.4 +/- 5.0 mIU/l (p > 0.05) in the diabetic patients. LDL oleic acid increased in the diabetic patients from 18.8 +/- 1.8% to 22.5 +/- 1.9% (p < 0.01) and in the non-diabetic subjects from 19.9 +/- 1.8% to 23.3 +/- 2.8% (p < 0.01). The LDL-esterified to free cholesterol ratios of 3.0 +/- 0.6 and 2.7 +/- 0.2 for the diabetic and non-diabetic patients were similar, and decreased significantly (p < 0.01) to 2.4 +/- 0.5 and 2.2 +/- 0.4, respectively. Baseline [14C]-acetate incorporation was similar in the two groups, and decreased after diet from 437 +/- 239 to 249 +/- 144 ng/g cell protein (p < 0.05) in the diabetic patients. There was a negative correlation between the LDL-esterified to free cholesterol ratio and the ratio of oleic to linoleic acid in the LDL (r = -0.39, p < 0.05) and a negative correlation between fasting blood glucose and LDL oleic acid in the diabetic patients (r = -0.51, p < 0.05). Enrichment of LDL with oleic acid appears to improve its ability to regulate endogenous cholesterol synthesis in both control and diabetic subjects. In the diabetic population, the diet had a favourable effect on glycaemic control.",,"Acetates; Adult; Arachidonic Acid; Arteriosclerosis; Blood Glucose; Cholesterol; Diabetes Mellitus, Type 2; Fasting; Female; Humans; Linoleic Acid; Linoleic Acids; Lipoproteins, LDL; Male; Middle Aged; Oleic Acid; Oleic Acids",Journal Article,Type 2 diabetes (disease); low-density lipoprotein (LDL) (protein); low-density lipoprotein (LDL) (chemical); oleic acid (chemical); cholesterol (chemical); cholesterol synthesis (biological_process); cholesterol synthesis (biological_process); fasting blood glucose (biomarker); fasting serum insulin (biomarker); linoleic acid (chemical); Type 2 diabetic (disease); oleic-acid-rich diet (drug); LDL oleic acid (chemical); mononuclear leucocytes (cell_type); glycaemic control (clinical_outcome),"(oleic acid-rich diet, Positive_Correlation, LDL oleic acid content); (oleic acid-rich diet, Negative_Correlation, fasting blood glucose); (fasting blood glucose, Negative_Correlation, LDL oleic acid level); (LDL oleic acid enrichment, Positive_Correlation, endogenous cholesterol synthesis regulation); (oleic-acid-rich diet, Negative_Correlation, cholesterol synthesis); (Type 2 diabetes, Association, LDL composition alteration); (oleic-acid-rich diet, Positive_Correlation, glycaemic control); (low-density lipoprotein (LDL), Association, cholesterol synthesis)"
8781962,https://pubmed.ncbi.nlm.nih.gov/8781962/,1996,Determination of anti-AGE antibodies in human serum.,Glycoconjugate journal,"The aim of this study was to develop an immunoenzyme method for the determination of anti-AGE antibodies in human serum. Human aortic elastin glycated in vitro (AGE-elastin) was used as an antigen, expressing AGE-epitopes, common to all glycated proteins. Polyclonal serum from guinea-pig against AGE-Hemocyanin was obtained according to Nakayama et al. [(1989) Biochem Biophys Res Commun 162: 740-45] and its specificity was tested via direct and competitive ELISA. Sera of 20 type 1 diabetic patients and 20 healthy subjects were tested using the method described. Seventeen patients had elevated levels of competing factors that may be anti-AGE antibodies, compared with the healthy group. The method could be used for investigation of different clinical groups of type 1 diabetic patients. Such a study would help in understanding the pathogenic role of autoantibodies against advanced glycation end products of proteins for the development of long-term diabetic complications.",,"Animals; Antibodies; Antibody Specificity; Autoantibodies; Diabetes Mellitus, Type 1; Elastin; Enzyme-Linked Immunosorbent Assay; Epitopes; Glycation End Products, Advanced; Guinea Pigs; Hemocyanins; Humans; Reference Values",Comparative Study; Journal Article,type 1 diabetes (disease); anti-AGE antibodies (biomarker); advanced glycation end products (AGEs) (chemical); AGE-elastin (biomarker); AGE-elastin (protein); long-term diabetic complications (disease); long-term diabetic complications (clinical_outcome); immunoenzyme assay (biological_process); AGE-Hemocyanin (protein); glycated proteins (protein); autoantibodies (biomarker),"(type 1 diabetes, Positive_Correlation, anti-AGE antibodies); (anti-AGE antibodies, Association, long-term diabetic complications pathogenesis); (immunoenzyme assay, Association, anti-AGE antibodies detection)"
9300243,https://pubmed.ncbi.nlm.nih.gov/9300243/,1997,Muscular atrophy in diabetic neuropathy: a stereological magnetic resonance imaging study.,Diabetologia,"Diabetic patients with polyneuropathy develop motor dysfunction. To establish whether motor dysfunction is associated with muscular atrophy the ankle dorsal and plantar flexors of the non-dominant leg were evaluated with magnetic resonance imaging in 8 patients with symptomatic neuropathy, in 8 non-neuropathic patients and in 16 individually matched control subjects. In the neuropathic patients the muscle strength of the ankle dorsal and plantar flexors was reduced by 41% as compared to the non-neuropathic patients (p < 0.005). Volume of the ankle dorsal and plantar flexors was estimated with stereological techniques from consecutive cross-sectional images of the lower leg. The neuropathic patients had a 32% reduction in volume as compared with the non-neuropathic patients (p < 0.005). To determine the regional distribution of atrophy cross-sectional magnetic resonance images were performed at predetermined levels of the lower leg in relation to bone landmarks. In the neuropathic patients there was an insignificant increase of 3% of muscle area at the proximal lower leg level, whereas the atrophy was 43% (p < 0.002) at the mid lower leg level and 65% (p < 0.002) distally. Analysis of individual muscles confirmed that the atrophy predominated distally. We conclude that muscular atrophy underlies motor weakness at the ankle in diabetic patients with polyneuropathy and that the atrophy is most pronounced in distal muscles of the lower leg indicating that a length dependent neuropathic process explains the motor dysfunction.",,"Adult; Ankle Joint; Diabetes Mellitus, Type 1; Diabetic Neuropathies; Female; Humans; Knee; Leg; Magnetic Resonance Imaging; Male; Middle Aged; Muscles; Muscular Atrophy; Pain; Radionuclide Imaging",Comparative Study; Journal Article,diabetic polyneuropathy (disease); motor dysfunction (clinical_outcome); muscular atrophy (clinical_outcome); muscle strength (biomarker); muscle strength (clinical_outcome); muscle volume (biomarker); magnetic resonance imaging (biological_process); symptomatic neuropathy (disease); Volume of the ankle dorsal and plantar flexors (clinical_outcome); motor weakness (clinical_outcome),"(diabetic polyneuropathy, Negative_Correlation, muscle strength); (diabetic polyneuropathy, Positive_Correlation, motor dysfunction); (diabetic polyneuropathy, Positive_Correlation, muscular atrophy); (diabetic polyneuropathy, Negative_Correlation, muscle volume); (muscular atrophy, Positive_Correlation, motor dysfunction); (symptomatic neuropathy, Negative_Correlation, Volume of the ankle dorsal and plantar flexors); (muscular atrophy, Association, motor weakness)"
9533990,https://pubmed.ncbi.nlm.nih.gov/9533990/,1998,The role of the primary care physician in caring for patients with type-1 diabetes.,Comprehensive therapy,"The management of type-1 diabetic patients is a challenge. Given the natural frequency of this medical problem, most primary care providers will have such patients in their office-based practice. The push for tighter control in order to lessen long-term complications is a sensible move, but it does not inherently require that you absent yourself from the loop. Most of the hoopla from the DCCT study has been used to justify the role of the endocrine sub-specialty team in the ""primary care"" management of all diabetic patients so that third-party payers will continue to fund such care as routine. While such team management has clear benefits, it should not preclude your active involvement in day-to-day management for fear that you do not have the proper credentials. Hopefully, this overview will give you the confidence to jump back in the ring.",,"Adolescent; Adult; Blood Glucose; Diabetes Mellitus, Type 1; Female; Humans; Male; Patient Compliance; Physician's Role; Physician-Patient Relations; Primary Health Care",Case Reports; Journal Article; Review,type-1 diabetes mellitus (disease); long-term diabetic complications (disease); long-term complications (clinical_outcome); glycemic control (biomarker); tighter control (clinical_outcome); primary care management (biological_process); endocrine specialty care (biological_process),"(tighter glycemic control, Negative_Correlation, long-term diabetic complications); (type-1 diabetes mellitus, Association, long-term diabetic complications)"
10706327,https://pubmed.ncbi.nlm.nih.gov/10706327/,1999,Isolated systolic hypertension in the elderly: lessons from clinical trials and future directions.,Journal of hypertension. Supplement : official journal of the International Society of Hypertension,"Systolic blood pressure (SBP) is a more reliable predictor of cardiovascular disease (CVD) events than is diastolic blood pressure (DBP). Perhaps the reduction of SBP should be more of the imperative of treatment than the reduction of DBP. Although two recent guidelines (WHO/ISH and JNC-VI) have recommended treating SBP to goal, there seems to be a reluctance in the medical community to embrace this paradigm shift and revise treatment plans. The deleterious effects of ignoring these findings are especially damaging to those with isolated systolic hypertension (ISH), which affects approximately two-thirds of hypertensive patients between the ages of 65 and 89 years. Two large clinical trials, the Systolic Hypertension in the Elderly Program (SHEP) and the Systolic Hypertension in Europe (Syst-EUR) trial have confirmed that reducing SBP in the elderly with stages 2 and 3 ISH (SBP > or = 160 mmHg with DBP < 90 mmHg in SHEP and SBP > 160 mmHg with DBP < 95 mmHg in Syst-EUR) reduced morbidity and mortality. Two SHEP sub-studies found that lowering SBP in subjects with non-insulin-dependent diabetes mellitus (NIDDM) and those with a history of myocardial infarction (MI) reduced the incidence of stroke and heart failure, as well as several other endpoints. The beneficial effects were corroborated in Syst-EUR where stroke (fatal and nonfatal), CVD endpoints and mortality were all significantly reduced when SBP was lowered 20 mmHg in subjects > 60 years of age. Despite these findings, however, recent analysis suggests that most hypertension treatment decisions continue to be based on DBP measurements instead of SBP. To combat this treatment gap, we must disseminate this information and motivate physicians and other providers to include reduction of SBP in their treatment plans. We must also encourage the development of antihypertensive drugs that lower SBP more effectively than those that are currently available.",,"Aged; Aged, 80 and over; Antihypertensive Agents; Blood Pressure; Clinical Trials as Topic; Diuretics; Drug Therapy, Combination; Humans; Hypertension; Myocardial Contraction; Prognosis",Journal Article; Review,systolic blood pressure (SBP) (biomarker); Systolic blood pressure (SBP) (clinical_outcome); diastolic blood pressure (DBP) (biomarker); diastolic blood pressure (DBP) (clinical_outcome); cardiovascular disease (CVD) (disease); isolated systolic hypertension (ISH) (disease); non-insulin-dependent diabetes mellitus (NIDDM) (disease); myocardial infarction (MI) (disease); stroke (disease); heart failure (disease); hypertension (disease); morbidity (clinical_outcome); mortality (clinical_outcome); antihypertensive drugs (drug),"(SBP, Positive_Correlation, cardiovascular disease events); (SBP reduction, Negative_Correlation, stroke); (SBP reduction, Negative_Correlation, heart failure); (SBP reduction, Negative_Correlation, cardiovascular disease mortality); (NIDDM, Association, hypertension); (Systolic blood pressure (SBP), Comparison, diastolic blood pressure (DBP)); (Systolic blood pressure (SBP), Positive_Correlation, morbidity); (Systolic blood pressure (SBP), Positive_Correlation, mortality); (Systolic blood pressure (SBP), Positive_Correlation, stroke); (Systolic blood pressure (SBP), Positive_Correlation, heart failure); (antihypertensive drugs, Negative_Correlation, Systolic blood pressure (SBP))"
10829521,https://pubmed.ncbi.nlm.nih.gov/10829521/,2000,Medical treatment of chronic pancreatitis.,Annali italiani di chirurgia,"The medical treatment has an important role in patients with chronic pancreatitis. Pain is the most frequent symptom, at least in the initial phases of the disease. In about 60% of patients it can be successfully treated by medical therapy; in the remaining 40% it requires surgery. Malabsorption of fat and protein and diabetes usually appear in the advanced stages of the disease. The treatment of these complications is based on the administration of pancreatic extracts and insulin. There are several types of pancreatic extracts; the most useful are those with high lipase content and high lipase-protease ratio. Moreover, they should be protected against gastric acid and should have a gastric emptying simultaneously with chyme, with a rapid liberation of enzymes into the duodenum. The treatment of diabetes usually requires low-moderate doses of insulin. Diabetic ketoacidosis is rare, while microvascular changes have the same frequency as in type 1 diabetes.",,Chronic Disease; Diabetes Mellitus; Humans; Pain; Pain Management; Pancreatitis,Journal Article; Review,chronic pancreatitis (disease); pain (clinical_outcome); fat malabsorption (clinical_outcome); protein malabsorption (clinical_outcome); diabetes (disease); pancreatic extracts (drug); insulin (protein); insulin (drug); diabetic ketoacidosis (disease); microvascular changes (clinical_outcome); type 1 diabetes (disease); medical therapy (drug); Malabsorption of fat and protein (clinical_outcome); lipase (protein); gastric acid (chemical),"(chronic pancreatitis, Positive_Correlation, pain); (advanced chronic pancreatitis, Positive_Correlation, diabetes); (advanced chronic pancreatitis, Positive_Correlation, fat malabsorption); (advanced chronic pancreatitis, Positive_Correlation, protein malabsorption); (pancreatic extracts, Association, malabsorption treatment); (insulin, Association, diabetes treatment); (chronic pancreatitis-related diabetes, Negative_Correlation, diabetic ketoacidosis incidence); (medical therapy, Negative_Correlation, Pain); (chronic pancreatitis, Association, Malabsorption of fat and protein); (pancreatic extracts, Cotreatment, insulin)"
10905497,https://pubmed.ncbi.nlm.nih.gov/10905497/,2000,Nitric oxide synthesis and isoprostane production in subjects with type 1 diabetes and normal urinary albumin excretion.,Diabetes,"The role of nitric oxide (NO) and free radicals in the development of microvascular disease in type 1 diabetes remains unclear. We have measured NO and isoprostane (a stable marker of in vivo lipid peroxidation) production in 13 type 1 diabetic subjects with normal urinary albumin excretion and 13 healthy volunteers. Whole-body NO synthesis was quantified by measuring the urinary excretion of 15N-nitrate after the intravenous administration of L-[15N]2-arginine. The urinary excretion of the major urinary metabolite of 15-F2t-isoprostane (8-iso-prostaglandin-F2alpha), 2,3-dinor-5,6-dihydro-F2t-IsoP, was quantified as a marker of in vivo lipid peroxidation. Whole-body NO synthesis was significantly higher in diabetic subjects compared with control subjects (342 vs. 216 nmol 15N-nitrate/mmol creatinine [95% CI of the difference 45-207], P = 0.005). This increase was not explained by a difference in renal function between the 2 groups. There was no difference in 2,3-dinor-5,6-dihydro-F2t-IsoP excretion between diabetic subjects and control subjects (44.8+/-7.8 vs. 41.4+/-10.0 ng/mmol creatinine, mean +/- 95% CI). However, there was an inverse correlation between NO synthesis and free radical activity in subjects with diabetes (r = -0.62, P = 0.012) that was not observed in control subjects (r = 0.37, P = 0.107). We conclude that whole-body NO synthesis is higher in type 1 diabetic subjects with normal urinary albumin excretion than in control subjects. The inverse correlation between isoprostane production and NO synthesis in diabetic subjects is consistent with the hypothesis that NO is being inactivated by reactive oxygen species.",,"Adult; Albuminuria; Creatinine; Diabetes Mellitus, Type 1; Dinoprost; Female; Humans; Male; Middle Aged; Nitrates; Nitric Oxide; Reactive Oxygen Species; Reference Values; Sex Characteristics",Journal Article,"type 1 diabetes (disease); nitric oxide (NO) (chemical); free radicals (chemical); free radical activity (biological_process); microvascular disease (disease); isoprostane (biomarker); lipid peroxidation (biological_process); urinary albumin excretion (biomarker); reactive oxygen species (chemical); 15N-nitrate (chemical); L-[15N]2-arginine (chemical); 2,3-dinor-5,6-dihydro-F2t-IsoP (biomarker); NO synthesis (biological_process)","(nitric oxide synthesis, Negative_Correlation, free radical activity); (type 1 diabetes, Positive_Correlation, whole-body nitric oxide synthesis); (type 1 diabetes, Association, microvascular disease); (isoprostane, Positive_Correlation, lipid peroxidation); (reactive oxygen species, Negative_Correlation, nitric oxide activity); (type 1 diabetes, Positive_Correlation, NO synthesis)"
11323502,https://pubmed.ncbi.nlm.nih.gov/11323502/,2001,Pancreatic transplantation and subsequent graft surveillance by pancreatic portal-enteric anastomosis and temporary venting jejunostomy.,Annals of surgery,"OBJECTIVE: To evaluate portal-enteric (PE) pancreas and kidney transplantation with venting jejunostomy (VJ) for its efficacy, safety, and reproducibility. SUMMARY BACKGROUND DATA: Simultaneous pancreas and kidney transplantation for patients with long-standing insulin-dependent diabetes mellitus that progresses to renal failure has revolutionized their treatment and quality of life. A current clinical focus is to refine the technical aspects of this procedure. Simultaneous pancreas and kidney transplantation with PE anastomosis with VJ appears to offer several advantages over bladder drainage. VJ allows initial decompression of the enteric anastomosis, monitoring of pancreatic function by ostomy amylase, and simple access for endoscopic evaluation and biopsy of the allograft. METHODS: Simultaneous pancreas and kidney transplantation with VJ was performed in 21 patients from December 1996 to October 2000 at Willis Knighton/LSU Regional Transplant Center. All patients had long-standing insulin-dependent diabetes mellitus and subsequent renal failure. They were evaluated at the time of surgery by a multidisciplinary transplant team and monitored for numerous factors, including length of hospital stay, immunosuppressive regimen, and ischemia times. All patients had intermittent visual and biochemical evaluation of pancreatic secretions monitored by means of the VJ. RESULTS: Of the 21 patients, 10 were women and 11 were men. Four patients were black and 17 were white. The mean age at transplantation was 38 years; average human leukocyte antigen (HLA) match was one; and average cold ischemia time was 12 hours. The median hospital stay was 16 days. Four episodes of postoperative bleeding requiring exploration occurred in four patients. Postoperative wound infections developed in four patients. There were 12 episodes of rejection in nine patients. All patients with suspected acute pancreatic rejection underwent endoscopy by means of the VJ and duodenal biopsy for evaluation. Two patients lost pancreatic function subsequent to kidney failure, one secondary to noncompliance and the other as a result of hemolytic-uremic syndrome. Patient, kidney, and pancreatic survival rates were 100%, 90%, and 90%, respectively. The mean follow-up period was 25 (range 2-48) months. CONCLUSION: The authors believe that PE pancreatic drainage with VJ is a more physiologic method to perform pancreatic transplantation than bladder drainage. PE drainage allows rapid diagnosis of acute rejection and anastomotic leak and provides a simple way to monitor ostomy amylase and transplant duodenal bleeding. This technique is safe and has minimal associated complications.",,"Adult; Aged; Anastomosis, Surgical; Drainage; Female; Gastrointestinal Hemorrhage; Graft Rejection; Humans; Jejunostomy; Kidney Transplantation; Male; Middle Aged; Pancreas Transplantation; Postoperative Complications",Journal Article,insulin-dependent diabetes mellitus (disease); renal failure (disease); acute rejection (disease); rejection (clinical_outcome); hemolytic-uremic syndrome (disease); postoperative bleeding (disease); postoperative bleeding (clinical_outcome); wound infection (disease); Postoperative wound infections (clinical_outcome); anastomotic leak (disease); anastomotic leak (clinical_outcome); duodenal bleeding (disease); HLA (gene); amylase (protein); ostomy amylase (biomarker); ostomy amylase (biomarker); pancreatic function (biological_process); pancreatic graft survival (clinical_outcome); kidney graft survival (clinical_outcome); patient graft survival (clinical_outcome); hospital stay (clinical_outcome); cold ischemia time (clinical_outcome); portal-enteric (PE) pancreas and kidney transplantation (drug); Simultaneous pancreas and kidney transplantation (drug); venting jejunostomy (VJ) (drug); bladder drainage (drug),"(insulin-dependent diabetes mellitus, Positive_Correlation, renal failure); (hemolytic-uremic syndrome, Positive_Correlation, renal failure); (renal failure, Negative_Correlation, pancreatic function); (ostomy amylase, Association, pancreatic function); (Simultaneous pancreas and kidney transplantation, Cotreatment, venting jejunostomy (VJ)); (portal-enteric (PE) pancreas and kidney transplantation, Comparison, bladder drainage)"
11978663,https://pubmed.ncbi.nlm.nih.gov/11978663/,2002,Contribution of known and unknown susceptibility genes to early-onset diabetes in scandinavia: evidence for heterogeneity.,Diabetes,"In an attempt to identify novel susceptibility genes predisposing to early-onset diabetes (EOD), we performed a genome-wide scan using 433 markers in 222 individuals (119 with diabetes) from 29 Scandinavian families with > or =2 members with onset of diabetes < or =45 years. The highest nonparametric linkage (NPL) score, 2.7 (P < 0.01), was observed on chromosome 1p (D1S473/D1S438). Six other regions on chromosomes 3p, 7q, 11q, 18q, 20q, and 21q showed a nominal P value <0.05. Of the EOD subjects in these 29 families, 20% were GAD antibody positive and 68% displayed type 1 diabetes HLA risk alleles (DQB*02 or 0302). Mutations in maturity-onset diabetes of the young (MODY) 1-5 genes and the A3243G mitochondrial DNA mutation were detected by single-strand conformation polymorphism and direct sequencing. To increase homogeneity, we analyzed a subsample of five families with autosomal dominant inheritance of EOD (greater than or equal to two members with age at diagnosis < or =35 years). The highest NPL scores were found on chromosome 1p (D1S438-D1S1665; NPL 3.0; P < 0.01) and 16q (D16S419; NPL 2.9; P < 0.01). After exclusion of three families with MODY1, MODY3, and mitochondrial mutations, the highest NPL scores were observed on chromosomes 1p (D1S438; NPL 2.6; P < 0.01), 3p (D3S1620; NPL 2.2; P < 0.03), 5q (D5S1465; NPL 2.1; P < 0.03), 7q (D7S820; NPL 2.0; P < 0.03), 18q (D18S535; NPL 1.9; P < 0.04), 20q (D20S195; NPL 2.5; P < 0.02), and 21q (D21S1446; NPL 2.2; P < 0.03). We conclude that considerable heterogeneity exists in Scandinavian subjects with EOD; 24% had MODY or maternally inherited diabetes and deafness, and approximately 60% were GAD antibody positive or had type 1 diabetes-associated HLA genotypes. Our data also point at putative chromosomal regions, which could harbor novel genes that contribute to EOD.",,"Adult; Age of Onset; Aged; Autoantibodies; Biomarkers; Diabetes Mellitus, Type 1; Family Health; Female; Genetic Heterogeneity; Genetic Markers; Genetic Predisposition to Disease; Genetic Testing; Genome, Human; Genotype; HLA-DQ Antigens; HLA-DQ beta-Chains; Humans; Male; Middle Aged; Mutation; Pedigree; Scandinavian and Nordic Countries","Journal Article; Research Support, Non-U.S. Gov't",early-onset diabetes (EOD) (disease); GAD antibody (biomarker); type 1 diabetes HLA risk alleles (gene); type 1 diabetes (disease); maturity-onset diabetes of the young (MODY) (disease); maturity-onset diabetes of the young (MODY) 1-5 genes (gene); A3243G mitochondrial DNA mutation (gene); chromosome 1p locus (gene); chromosome 3p locus (gene); chromosome 7q locus (gene); chromosome 11q locus (gene); chromosome 18q locus (gene); chromosome 20q locus (gene); chromosome 21q locus (gene); chromosome 16q locus (gene); chromosome 5q locus (gene); maternally inherited diabetes and deafness (disease); D1S438 (gene); D16S419 (gene); MODY1 (gene); MODY3 (gene); HLA risk alleles (gene),"(early-onset diabetes, Association, GAD antibody); (early-onset diabetes, Association, type 1 diabetes HLA risk alleles); (early-onset diabetes, Association, MODY gene mutations); (early-onset diabetes, Association, A3243G mitochondrial DNA mutation); (early-onset diabetes, Positive_Correlation, chromosome 1p locus); (early-onset diabetes, Positive_Correlation, chromosome 3p locus); (early-onset diabetes, Positive_Correlation, chromosome 7q locus); (early-onset diabetes, Positive_Correlation, chromosome 11q locus); (early-onset diabetes, Positive_Correlation, chromosome 18q locus); (early-onset diabetes, Positive_Correlation, chromosome 20q locus); (early-onset diabetes, Positive_Correlation, chromosome 21q locus); (early-onset diabetes, Positive_Correlation, chromosome 16q locus); (early-onset diabetes, Positive_Correlation, chromosome 5q locus); (chromosome 1p, Association, early-onset diabetes (EOD)); (D1S438, Association, early-onset diabetes (EOD)); (D16S419, Association, early-onset diabetes (EOD)); (HLA risk alleles, Association, early-onset diabetes (EOD)); (GAD antibody, Association, early-onset diabetes (EOD))"
12401723,https://pubmed.ncbi.nlm.nih.gov/12401723/,2002,Decreased myocardial perfusion reserve in diabetic autonomic neuropathy.,Diabetes,"The pathophysiological mechanisms responsible for increased cardiovascular mortality in diabetic autonomic neuropathy are unknown. To investigate the effect of autonomic neuropathy on myocardial function, we performed dynamic contrast-enhanced magnetic resonance perfusion imaging during baseline conditions and after Dipyridamole-induced vasodilatation in nine type 1 diabetic patients with autonomic neuropathy (AN+), defined by cardiovascular tests, as well as in 10 type 1 diabetic patients without autonomic neuropathy (AN-) and 10 healthy control subjects. Baseline myocardial perfusion index (K(i)) was similar in the three groups (AN+ 88.6 +/- 8.7 ml. 100 g(-1). min(-1), AN- 82.6 +/- 7.2, control subjects 93.7 +/- 9.0) (means +/- SE). K(i) during Dipyridamole vasodilatation was significantly lower in the patients with autonomic neuropathy (P < 0.001) than in the other groups (AN+ 131.1 +/- 13.0 ml. 100 g(-1). min(-1), AN- 177.3 +/- 8.6, control subjects 197.2 +/- 8.9). Mean blood pressure was unchanged during Dipyridamole infusion in AN- and control subjects, whereas a significant blood pressure decrease was found in AN+ (15.6 +/- 2.6 mmHg, P < 0.025). There was a significant correlation between blood pressure response to Dipyridamole and myocardial perfusion reserve index. We conclude that type 1 diabetic patients with autonomic neuropathy have a decreased myocardial perfusion reserve capacity when challenged with a vasodilatator, a finding that may in part be the pathophysiological substrate for the increase in mortality in these patients. The underlying mechanism may be defective myocardial sympathetic vasodilatation, a lack of ability to maintain blood pressure during vasodilatation, or both.",,Adult; Age of Onset; Albuminuria; Blood Pressure; Diabetic Neuropathies; Diabetic Retinopathy; Dipyridamole; Heart; Heart Rate; Humans; Middle Aged; Posture; Reference Values; Valsalva Maneuver; Vasodilator Agents; Vibration,"Comparative Study; Journal Article; Research Support, Non-U.S. Gov't",type 1 diabetes (disease); diabetic autonomic neuropathy (disease); cardiovascular mortality (clinical_outcome); myocardial perfusion index (biomarker); myocardial perfusion index (K(i)) (clinical_outcome); myocardial perfusion reserve capacity (biomarker); myocardial perfusion reserve (clinical_outcome); Dipyridamole (drug); vasodilatation (biological_process); blood pressure (biomarker); blood pressure (clinical_outcome); myocardial sympathetic vasodilatation (biological_process); autonomic neuropathy (disease),"(diabetic autonomic neuropathy, Positive_Correlation, cardiovascular mortality); (diabetic autonomic neuropathy, Negative_Correlation, myocardial perfusion reserve capacity); (Dipyridamole, Positive_Correlation, vasodilatation); (type 1 diabetes, Association, autonomic neuropathy); (diabetic autonomic neuropathy, Negative_Correlation, blood pressure response to vasodilatation); (Dipyridamole, Negative_Correlation, blood pressure); (blood pressure, Association, myocardial perfusion reserve)"
12820687,https://pubmed.ncbi.nlm.nih.gov/12820687/,2003,Assessment of beta cell mass and oxidative peritoneal exudate cells in murine type 1 diabetes using adoptive transfer system.,Autoimmunity,"Because it is controversial how the beta cell mass is reduced during the disease process in type 1 diabetes, we transferred splenocytes from Non-obese diabetic (NOD) to NOD-scid mice and evaluated the relation between the status of the pancreas in donors and the time taken to transfer diabetes to the recipients. We also evaluated the usefulness of assessment of the proportion of oxidative peritoneal exudate cells (PEC) as a novel marker of disease activity in this system. We examined the proportion of oxidative PEC, pancreatic insulin content and pancreatic histology in 16-18-week-old female NOD mice (donors), and transferred their splenocytes into 5-week-old female NOD-scid mice (recipients). After the onset of diabetes in NOD-scid recipients, we assessed the relation between insulin content (or severity of insulitis) of NOD donors and the time taken to transfer diabetes to NOD-scid recipients. The insulin content of ""diabetes-prone"" donors whose disease status was considered to be just before the onset of diabetes (""malignant"" donors) was the same as that of diabetic mice, whereas the insulin content of ""diabetes-prone"" donors excluding ""malignant"" donors (""benign"" donors) was the same as that of ""non-diabetes-prone"" donors. Because its proportion of oxidative PEC was inversely correlated with the severity of insulitis, we then evaluated the relation between the proportion of oxidative PEC and the time taken to transfer diabetes. ""Malignant"" donors had less proportion of oxidative PEC (< 10%), as compared to ""benign"" and ""non-diabetes-prone"" donors. These results suggest that a marked reduction of beta cell mass occurs at the very late prediabetic stage, and assessment of the proportion of oxidative PEC is useful to evaluate disease activity in type 1 diabetes.",,"Adoptive Transfer; Animals; Ascitic Fluid; Diabetes Mellitus, Type 1; Female; Insulin; Islets of Langerhans; Mice; Mice, Inbred NOD; Mice, SCID; Organ Size; Oxidation-Reduction; Prediabetic State; Time Factors","Journal Article; Research Support, Non-U.S. Gov't",type 1 diabetes (disease); beta cell mass (biomarker); beta cell mass (biological_process); splenocytes (cell_type); oxidative peritoneal exudate cells (PEC) (biomarker); oxidative peritoneal exudate cells (PEC) (cell_type); pancreatic insulin content (biomarker); insulitis (disease); prediabetic stage (clinical_outcome); diabetes (disease),"(type 1 diabetes, Negative_Correlation, beta cell mass); (oxidative PEC proportion, Negative_Correlation, insulitis severity); (oxidative PEC proportion, Association, type 1 diabetes disease activity); (beta cell mass reduction, Association, late prediabetic stage); (oxidative peritoneal exudate cells (PEC), Negative_Correlation, insulitis)"
13958208,https://pubmed.ncbi.nlm.nih.gov/13958208/,1963,Physiologic monitoring of blood glucose.,California medicine,"The technique of continuous chemical analysis in vivo gives promise of real value in medicine. Applied to physiologic monitoring of blood glucose, it provides an invaluable tool for the study of labile diabetes and metabolic problems. Its use during surgical procedures and in post-operative management of such patients and in teaching is to be encouraged.",BLOOD SUGAR,"Appointments and Schedules; Blood Glucose; Blood Glucose Self-Monitoring; Diabetes Mellitus, Type 1; Disease Management; Humans; Medicine; Monitoring, Physiologic; Postoperative Period",Journal Article,blood glucose (biomarker); labile diabetes (disease); metabolic problems (disease),
