pmid,pubmed_url,year,title,abstract,journal,keywords,mesh_terms,publication_types
12400220,https://pubmed.ncbi.nlm.nih.gov/12400220/,2002,[Diet guidelines for non-insulin dependent diabetes].,"Diet therapy is an essential instrument in the prevention and treatment of non-insulin-dependent diabetes mellitus and its complications. Nutritional advice allow to modify the mechanisms underlying deranged carbohydrate metabolism, control disease evolution and/or retard pharmacological treatment. We describe the main dietetic factors that can influence this widespread metabolic disorder.",La Clinica terapeutica,,"Diabetes Mellitus, Type 2; Humans; Practice Guidelines as Topic",English Abstract; Journal Article
14706056,https://pubmed.ncbi.nlm.nih.gov/14706056/,2004,The concentrations of short-chain fatty acids and other microflora-associated characteristics in faeces from children with newly diagnosed Type 1 diabetes and control children and their family members.,"AIMS: The gut flora is quantitatively the most important source of microbial stimulation and may provide a primary signal in the maturation of the immune system. We compared the microflora-associated characteristics (MACs) in 22 children with newly diagnosed diabetes, 27 healthy controls, and their family members to see if there were differences between the children and if there was a familial pattern. METHODS: The MACs were assessed by determining the concentrations of eight short-chain fatty acids (SCFA), mucin, urobilin, b-aspartylglycine, coprastanol and faecal tryptic activity (FTA). RESULTS: There were no statistically significant differences between the concentrations of SCFA in the diabetes and control children. Members of families with a diabetic child had a higher concentration of acetic acid (P < 0.02) and lower concentrations of several other SCFAs than control families (P < 0.05-0.02). The other MACs showed no differences between the children or between the two family groups. CONCLUSION: In this pilot study we saw no differences in the MACs between children with diabetes and their controls. There were, however, some differences between the family members of diabetic children and controls that may indicate a familial pattern regarding the production of SCFAs by the gut flora. The role of the gut flora in relation to the risk of developing Type 1 diabetes needs to be analysed in larger and/or prospective studies.",Diabetic medicine : a journal of the British Diabetic Association,,"Acetic Acid; Adolescent; Adult; Anti-Bacterial Agents; Child; Child, Preschool; Diabetes Mellitus, Type 1; Dipeptides; Family Health; Fatty Acids, Volatile; Feces; Female; Humans; Infant; Intestines; Male; Middle Aged; Mucins; Pilot Projects; Urobilin","Clinical Trial; Controlled Clinical Trial; Journal Article; Research Support, Non-U.S. Gov't"
15219384,https://pubmed.ncbi.nlm.nih.gov/15219384/,2004,Analysis of HLA genes in families with autoimmune diabetes and thyroiditis.,"Type 1 diabetes (T1D) and autoimmune thyroid disease (AITD) are the most common autoimmune endocrine disorders. The similar pathogenesis of T1D and AITD and their tendency to occur together suggest that their etiology may involve common genetic factors. We hypothesized that the human leukocyte antigen (HLA) locus may contribute in part to the joint susceptibility to T1D and AITD. We therefore analyzed a data set of 40 multiplex families in which T1D and AITD clustered (""T1D-AITD families"") for linkage and association with the HLA class II locus. We found evidence for linkage of the HLA region to T1D (maximum logarithm of odds score [MLS] = 7.3), to Hashimoto thyroiditis (HT) (MLS = 1.5), and to both (MLS = 3.8). Transmission disequilibrium test analysis revealed significant association of both T1D and AITD with HLA-DR3; however, only T1D was associated with HLA-DR4. We concluded that the finding of evidence for linkage of HLA with HT is in contrast to the strong evidence against linkage found in previous studies of AITD-only families; therefore, it is possible that the AITD phenotype seen in T1D families has a different genetic etiology than the AITD phenotype in AITD-only families; that HLA-DR3 was the major HLA allele contributing to the joint genetic susceptibility to T1D and AITD, whereas other alleles (e.g., DR4) are phenotype specific; and that because the logarithm of odds score for T1D + HT was lower than for T1D alone, additional non-HLA loci must contribute to the shared genetic susceptibility to T1D and AITD.",Human immunology,,"Alleles; Diabetes Mellitus, Type 1; Genetic Predisposition to Disease; HLA-DR3 Antigen; HLA-DR4 Antigen; Humans; Linkage Disequilibrium; Quantitative Trait Loci; Thyroiditis, Autoimmune","Journal Article; Research Support, U.S. Gov't, P.H.S."
15478300,https://pubmed.ncbi.nlm.nih.gov/15478300/,2004,[Risk markers for insulin-dependent diabetes mellitus and duration of exposure to gluten in celiac patients].,"BACKGROUND: Celiac patients are at high risk of developing insulin-dependent diabetes mellitus, a condition that has a long pre-diabetic period. During this lapse, anti-islet cell antibodies serve as markers for future disease. This may be related with the duration of the exposure to gluten. AIM: To test the hypothesis that long term adherence to a gluten free diet decreases the frequency of risk markers for insulin dependent diabetes mellitus during adolescence and early adulthood. PATIENTS AND METHODS: 158 celiac patients were classified as: G1, (n=30 patients) studied at the time of diagnosis; G2 (n=97 patients) exposed to gluten as a result of non compliance with the gluten free diet and, G3 (n=31 patients) who had maintained a long term, strict gluten free diet. Isotype IgG anti-islet cell antibodies were detected by indirect immunofluorescence using monkey pancreas, results were reported in Juvenile Diabetes Foundation (JDF) units. RESULTS: Celiac patients exposed to a gluten containing diet had a significantly higher prevalence of anti-islet cell antibodies than those who had been exposed only briefly (p < 0.017). In addition, a significantly higher prevalence of anti-islet cell antibodies was observed in those patients whose exposure to gluten was longer than 5 years than in those whose exposure was shorter (p < 0.02). CONCLUSIONS: Celiac patients long exposed to gluten have a significantly higher prevalence of anti-islet cell antibodies than those exposed for a short period. This fact supports the hypothesis that the development of these antibodies is associated with the length of the exposure to gluten.",Revista medica de Chile,,"Adolescent; Adult; Autoantibodies; Biomarkers; Celiac Disease; Child; Child, Preschool; Diabetes Mellitus, Type 1; Diet; Female; Glutens; Humans; Infant; Infant, Newborn; Islets of Langerhans; Male; Middle Aged; Risk Factors; Time Factors","English Abstract; Journal Article; Research Support, Non-U.S. Gov't"
15531528,https://pubmed.ncbi.nlm.nih.gov/15531528/,2004,Epitope-restricted 65-kilodalton glutamic acid decarboxylase autoantibodies among new-onset Sardinian type 2 diabetes patients define phenotypes of autoimmune diabetes.,"The 65-kDa glutamic acid decarboxylase (GAD65) autoantibodies (GAD65Abs), commonly found in type 1 diabetes mellitus (T1DM) patients, are also found at lower frequencies in type 2 diabetes mellitus (T2DM) patients. GAD65Abs in T1DM patients are epitope specific, in contrast to those found in other GAD65Ab-positive individuals, including T2DM patients. Our aim was to assess whether epitope-specific GAD65Abs, or the additional presence of islet antigen 2 (IA-2) autoantibodies, better define T1DM phenotypes among T2DM patients. GAD65 and IA-2 autoantibodies were analyzed in 1436 Sardinian subjects classified with T2DM and in 384 nondiabetic patient controls. Autoantibody binding specificity to the N-terminal, middle (M), and C-terminal (C) portions of the GAD65 molecule was evaluated. Among the T2DM patients, 5.1% had GAD65 (P < 0.001) and 2.4% had IA-2 autoantibodies, compared with 1.3 and 1.6%, respectively, among the controls. GAD65Ab-positive T2DM patients with M+C (epitope-specific) reactivity were found to have the lowest body mass index (P < 0.001), followed by GAD65Ab/IA-2Ab-positive patients (P < 0.01), and non-M+C-reactive (non-epitope-specific) patients (P < 0.02). In GAD65Ab-positive T2DM patients, c-peptide levels were lower in M+C-reactive compared with non-M+C-reactive patients. Sardinian T2DM patients with M+C-predominant GAD65Ab reactivity have clinical features more similar to those of T1DM patients. Thus, GAD65Ab epitope analysis may help to define T1DM phenotypes among newly diagnosed GAD65Ab-positive patients classified with T2DM.",The Journal of clinical endocrinology and metabolism,,"Adult; Aged; Autoantibodies; Body Mass Index; C-Peptide; Diabetes Mellitus, Type 1; Diabetes Mellitus, Type 2; Epitopes; Female; Glutamate Decarboxylase; Humans; Isoenzymes; Male; Middle Aged; Phenotype","Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S."
15987004,https://pubmed.ncbi.nlm.nih.gov/15987004/,2005,School nurse perceptions of barriers and supports for children with diabetes.,"Adolescents with type 1 diabetes are likely attending most middle and high schools. These youth often do not receive the support needed to manage their diabetes during or after school. Nurses (n=110) from 3 states responded to a survey examining perceptions of barriers to and supports for diabetes management during school and after school activities. Results indicated that adolescents need more support at school. Support could be facilitated by education of school staff; improved communication among youth, parents, school nurses, teachers, and physicians; and more communication from adolescents to others about what they need to manage well in school. Open-ended questions allowed nurses to provide recommendations for supporting youth and ideas for addressing barriers to management at school. Future studies should address ways to enable adolescents to communicate about their diabetes and ways to educate the school team.",The Journal of school health,,"Adolescent; Adolescent Health Services; Adult; Communication; Diabetes Mellitus, Type 1; Female; Humans; Middle Aged; Patient Compliance; Patient Education as Topic; School Nursing; Social Support; Surveys and Questionnaires",Journal Article; Multicenter Study
17430509,https://pubmed.ncbi.nlm.nih.gov/17430509/,2007,Progression of retinopathy during pregnancy in type 1 diabetes mellitus.,"PURPOSE: The incidence and risk factors for progression of retinopathy during pregnancy in women with type 1 diabetes mellitus were retrospectively evaluated. METHODS: Fifty-four insulin-dependent diabetic patients at a teaching hospital in Saudi Arabia were followed throughout the pregnancy/puerperium with serial ophthalmic examination. Dilated fundus examination was performed in each trimester and puerperium. RESULTS: Progression of diabetic retinopathy in the study occurred in 13/54 (24%) patients--2/22 (9.1%) patients had no diabetic retinopathy initially, 4/20 (20%) had non-proliferative diabetic retinopathy (NPDR) and 7/12 (58.3%) had proliferative diabetic retinopathy (PDR). Of the eight patients with PDR who had no laser treatment before pregnancy, six (75%) showed progression but only one of the four patients who had PDR and laser treatment prior to pregnancy experienced progression of retinopathy. Eight patients in total received panretinal photocoagulation to arrest the progression of retinal disease during pregnancy and only one of them had laser treatment prior to pregnancy. CONCLUSION: Laser photocoagulation for severe NPDR or early PDR prior to pregnancy may protect against rapid progression of PDR. Visual impairment resulting from progression of PDR can be prevented by aggressive laser treatment during pregnancy. Duration of diabetes>15 years, poor glycaemic control and hypertension are high-risk factors in the progression of diabetic retinopathy in pregnancy.",Clinical & experimental ophthalmology,,"Adolescent; Adult; Diabetes Mellitus, Type 1; Diabetic Retinopathy; Disease Progression; Female; Follow-Up Studies; Gestational Age; Humans; Incidence; Laser Coagulation; Pregnancy; Pregnancy in Diabetics; Retrospective Studies; Risk Factors; Visual Acuity",Journal Article
18191066,https://pubmed.ncbi.nlm.nih.gov/18191066/,2007,Flexibility of rapid-acting insulin analogues in children and adolescents with diabetes mellitus.,"BACKGROUND: Every year, approximately 70,000 children aged<15 years develop type 1 diabetes mellitus (DM) worldwide. Achieving glycosylated hemoglobin control is a very important aim, but quality-of-life concerns for the child and the family should also have high priority in the management of pediatric DM. OBJECTIVE: This review outlines some of the issues involved in treating type 1 DM in children and adolescents, as well as the use of rapid-acting insulin analogues in basal-bolus therapy and continuous subcutaneous insulin infusion pumps. METHODS: This review article was based on a presentation at a satellite symposium entitled ""Realising the Value of Modern Insulins: Reaching Further with Rapid-Acting Insulin Analogues ""that was convened during the XIXth World Diabetes Congress, December 3, 2006, in Cape Town, South Africa. RESULTS: Treating children and adolescents with DM is a challenge that should not be ignored. Furthermore, DM in children is quite different from that in adults. Numerous factors have to be taken into account when evaluating treatment for children with DM in comparison with treatment for adult DM: sleep patterns; unpredictable activities, especially eating behaviors; limited size of injection sites, making it difficult to rotate injections; higher insulin sensitivity; and frequent infectious diseases. In addition, achieving normal psychosocial development may be just as important as achieving strict metabolic control in this population. Rapid-acting insulin analogues can be used effectively in these individuals with type 1 DM. The pharmacokinetic profile of insulin aspart suggests that it is suitable for flexible mealtime administration in children and adolescents. Indeed, clinical studies in children and adolescents have shown the efficacy and tolerability of postprandial administration of insulin aspart, particularly in comparison with soluble human insulin. Postprandial administration of insulin aspart, compared with preprandial soluble human insulin, has also been studied in very young children (aged 2-6 years); similar metabolic control and increased parent preference for insulin aspart were reported. CONCLUSIONS: Rapid-acting insulin analogues in children and adolescents with type 1 DM are effective and well tolerated; they can be injected postprandially, and this is a reliable option that can be recommended to patients and their families.",Clinical therapeutics,,"Adolescent; Child; Diabetes Mellitus, Type 1; Humans; Hypoglycemic Agents; Insulin; Insulin Infusion Systems; Postprandial Period; Randomized Controlled Trials as Topic; Time Factors",Journal Article; Review
18358752,https://pubmed.ncbi.nlm.nih.gov/18358752/,2009,Prevalence of cardiovascular risk factors in patients with type 1 diabetes in end-stage renal disease: changes in the trend from 1999 to 2006.,"OBJECTIVE: The aim of this study was to describe the prevalence of cardiovascular disease risk factors (CVDRFs) and the degree of control in a Spanish population of patients with type 1 diabetes (DM1) and end-stage renal disease (ESRD) as well as the changes observed in this setting over 8 years. DESIGN AND METHODS: Patients with DM1 and ESRD were evaluated from 1999 to 2006. Clinical variables, smoking habit, glycosylated hemoglobin (HbA(1c)) and lipids values, and drug treatment were evaluated. The cohort was divided into four biannual groups for analysis. HbA(1c) >7, LDL >100 mg/dl, blood pressure (BP) >140/90 mmHg, and tobacco use were considered as CVDRFs. RESULTS: A total of 177 patients (65% male) with a mean age of 37.2+/-6.2 years were studied. They had 24.3+/-5.9 years of diabetes evolution. Mean HbA(1c) was 7.9+/-1.5% with 29.6% of patients having values less than 7%. Mean LDL was 109.3+/-40.4 mg/dl and 41.1% were below 100 mg/dl. Over the years these proportions increased significantly (P=.028 and .0015, respectively). Mean systolic and diastolic BP were 142.5+/-22.9 and 82.2+/-14.9 mmHg, respectively, with 53.8% of patients having BP <140/90 mmHg with no changes over the years (P=.11). The proportion of never smokers was 51.5%, reaching 65.5% in the last biannual period (P=.01). In the whole cohort, 89.3% had one or more CVDRFs. There was a statistically significant trend to a reduction in the number of CVDRFs over time (r=-.208, P=.005). CONCLUSIONS: CVDRFs are highly prevalent in patients with DM1 and ESRD. The control of these CVDRFs is still insufficient; however, there has been a clear improvement in the control over the years.",Journal of diabetes and its complications,,"Adult; Cardiovascular Diseases; Chi-Square Distribution; Cohort Studies; Diabetes Mellitus, Type 1; Diabetic Nephropathies; Female; Glycated Hemoglobin; Humans; Hyperglycemia; Hyperlipoproteinemias; Hypertension; Kidney Failure, Chronic; Linear Models; Lipoproteins, LDL; Male; Prevalence; Retrospective Studies; Risk Factors; Smoking; Spain",Journal Article
18828242,https://pubmed.ncbi.nlm.nih.gov/18828242/,2008,The accuracy of the Guardian RT continuous glucose monitor in children with type 1 diabetes.,"OBJECTIVE: The aim of this study was to determine the accuracy of the Guardian RT system (Medtronic Minimed, Northridge, CA) in young children and adolescents with type 1 diabetes (T1D) during different scenarios of glucose levels and sensor age. METHODS: At five clinical centers, 30 subjects between 4 and 17 years old with T1D were recruited. All subjects had a glycosylated hemoglobin level of <or=10.0% and were using an insulin pump. Subjects initially used a Guardian RT for approximately 1 week at home. Each subject was then hospitalized overnight for about 18 h in a clinical research center, during which time insulin-induced hypoglycemia occurred, along with frequently sampled glucose. RESULTS: There were 1,511 laboratory glucose measurements paired with glucose measurements from 48 Guardian RT sensors. Overall, the median absolute difference (AD) was 21 mg/dL, and the median relative AD (RAD) was 14%, with 64% of sensor values meeting International Organization for Standardization home glucose meter criteria. The median AD was 27 mg/dL for reference glucose values<or=60 mg/dL and 25 mg/dL for reference glucose values<or=70 mg/dL. The median RAD was 19% for reference glucose values 71-120 mg/dL, 14% for reference glucose values 121-180 mg/dL, and 10% for reference glucose values>180 mg/dL. CONCLUSIONS: The Guardian RT appears to perform as well in children with T1D as it has been reported to perform in adults with diabetes. The Guardian RT has an accuracy similar to that of other available continuous glucose monitors and can give important and useful clinical information.",Diabetes technology & therapeutics,,"Adolescent; Blood Glucose; Blood Glucose Self-Monitoring; Child; Child, Preschool; Diabetes Mellitus, Type 1; Female; Humans; Male; Outpatients; Reproducibility of Results","Evaluation Study; Journal Article; Research Support, N.I.H., Extramural"
19098379,https://pubmed.ncbi.nlm.nih.gov/19098379/,2008,Diurnal blood pressure abnormalities are related to endothelial dysfunction in patients with non-complicated type 1 diabetes.,"Patients with diabetes have an increased cardiovascular morbidity and mortality despite interventions to prevent these outcomes. Abnormalities in diurnal blood pressure patterns are also associated with excess cardiovascular mortality. The aim of this study was to determine the effects of diurnal blood pressure patterns on endothelial function and oxidative stress in patients with uncomplicated type 1 diabetes mellitus. Thirty-two normotensive and normoalbuminuric type 1 diabetic patients (21 dipper and 11 nondipper) and 37 healthy (27 dipper and 10 nondipper) volunteers underwent 24-h ambulatory blood pressure monitoring. Their endothelial functions were evaluated using flow mediated dilatation (FMD) and by measuring nitric oxide and thiobarbituric acid reactive substances (TBARS). Dippers were defined as subjects who exhibited an average reduction in both systolic and diastolic blood pressure of greater than 10% between day and night periods. Nondipper type 1 diabetic patients and controls had nighttime systolic and diastolic blood pressure values that were significantly higher than those of dipper diabetic patients (p<0.05) and dipper controls (p<0.01). Values of FMD for nondipper diabetic patients (5.12+/-2.2%) were significantly lower than those in dipper diabetic patients (10.19+/-2.5%, p<0.01), nondipper (10.08+/-2.9%, p<0.001) and dipper controls (11.76+/-3.8%, p<0.001). Additionally, levels of TBARS in the dipper diabetic group and dipper controls were significantly lower than those in the nondipper diabetic group (p<0.05). In conclusion, only type 1 diabetic patients with a nondipping pattern of blood pressure exhibited changes that may lead to endothelial dysfunction and atherosclerosis. (Hypertens Res 2008; 31: 2065-2073).",Hypertension research : official journal of the Japanese Society of Hypertension,,"Adult; Blood Pressure; Cholesterol, LDL; Circadian Rhythm; Diabetes Mellitus, Type 1; Endothelium, Vascular; Female; Glycated Hemoglobin; Humans; Male; Nitric Oxide; Thiobarbituric Acid Reactive Substances; Vasodilation",Journal Article
19188044,https://pubmed.ncbi.nlm.nih.gov/19188044/,2009,Induction of anti-whole GAD65 reactivity in vivo results in disease suppression in type 1 diabetes.,"Most type 1 diabetes mellitus is caused by autoimmune pancreatic beta-cell destruction. Several antigens such as insulin, glutamic acid decarboxylase (GAD) and islet-specific glucose-6-phosphatase catalytic subunit related protein (IGRP) are considered to take part in the autoimmune destructive process. Because the role of GAD in the disease process of type 1 diabetes is still controversial, we investigated the disease phenotype upon in vivo induction of whole GAD65 reactivity using a GAD65 homo knockout NOD splenocytes to NOD-scid transfer system. Splenocytes from 8 to 10-week-old female GAD65 homo knockout (=KOT splenocytes) or age-matched wild type (=WTT splenocytes) NOD mice were transferred into female NOD-scid recipients. As compared to recipients of WTT splenocytes, the onset of diabetes in recipients of KOT splenocytes was significantly delayed (p<0.001). Moreover, TGF-beta expression was enhanced in the pancreas from recipients of KOT splenocytes. Splenocytes from recipients of KOT splenocytes produced IL-10 (/IFN-gamma) upon GAD65 stimulation, whereas those from recipients of WTT splenocytes did not. Based upon these results, we propose that anti-whole GAD65-reactive T cells have the ability to regulate the development of type 1 diabetes.",Journal of autoimmunity,,"Animals; Antibodies; Cytokines; Diabetes Mellitus, Type 1; Female; Glutamate Decarboxylase; Lymphocytes; Male; Mice; Mice, Inbred NOD; Mice, Knockout; Pancreas; Spleen",Journal Article
19453387,https://pubmed.ncbi.nlm.nih.gov/19453387/,2009,A case-sibling assessment of the association between skin pigmentation and other vitamin D-related factors and type 1 diabetes mellitus.,"Fair skin pigmentation has been associated with a higher risk of type 1 diabetes mellitus (T1DM). The aim is to compare children with T1DM directly to a sibling in relation to their skin pigmentation in sun-exposed and unexposed sites, past sun exposure and methylation of the VDR gene promoter. The sample consisted of children with T1DM attending a diabetes outpatient clinic and siblings (total n=42). Cutaneous melanin density was estimated using a spectrophotometer. Parental report on past sun exposure was obtained. DNA methylation analysis of the VDR gene promoter was conducted. Matched data analysis was performed comparing each case directly to their sibling. Cases were significantly more likely to have lighter skin pigmentation at the upper arm (AOR 0.69 [95% CI: 0.52, 0.90]; P=0.01). Low infant sun exposure was imprecisely associated with a two-fold increase in T1DM risk (AOR 2.43 [95% CI: 0.91, 6.51]; P=0.08 for under 1 h of winter sun exposure per leisure day). The VDR gene promoter was completely unmethylated in both cases and siblings. The previously demonstrated association between light skin pigmentation and T1DM risk was evident even in this comparison across sibling pairs. Further work on past UVR exposure and related factors such as skin pigmentation is required.",Photochemistry and photobiology,,"Base Sequence; Case-Control Studies; DNA Primers; Diabetes Mellitus, Type 1; Humans; Skin Pigmentation; Vitamin D",Journal Article
19527709,https://pubmed.ncbi.nlm.nih.gov/19527709/,2009,Ras inhibition increases the frequency and function of regulatory T cells and attenuates type-1 diabetes in non-obese diabetic mice.,"Regulatory T cells (Treg) reportedly suppress diabetes in non-obese diabetic (NOD) mice, and the frequency and functional suppressive properties of Treg were found to be upregulated by inhibition of Ras. We thus postulated that treatment with the Ras inhibitor 5-fluoro-farnesylthiosalicylic acid (F-FTS), a derivative of S-farnesylthiosalicylic acid (FTS), would attenuate diabetes development in NOD mice. To test this hypothesis we assayed Foxp3, total Ras, and GTP-Ras in NOD splenocytes following their exposure to FTS and F-FTS in vitro. In splenocytes exposed to FTS, and even more so to F-FTS, Foxp3 expression was increased and GTP-Ras expression reduced. We also injected NOD mice intraperitoneally with F-FTS and assessed both their Treg pools and the occurrence of diabetes. The treated mice showed a significant increase in the frequency of spleen-cell-derived Foxp3+ Treg, and their Treg were more effective than Treg from untreated NOD controls in suppressing the proliferation of effector T cells. Moreover, the F-FTS treatment also attenuated the development of diabetes in the NOD mice. The mice were then killed and their insulin and cytokine levels assayed. The treated mice showed an increase in circulating insulin but no change in cytokine concentrations. One of the mechanisms underlying our novel finding that treatment with a Ras inhibitor ameliorates the development of experimental type-1 diabetes could thus conceivably be an augmentation in the frequency and functional suppressive properties of Treg. Ras inhibition might therefore be worth developing as a new treatment modality in patients with type 1 diabetes.",European journal of pharmacology,,"Animals; Diabetes Mellitus, Type 1; Enzyme Inhibitors; Farnesol; Forkhead Transcription Factors; Homeostasis; Interleukin-2 Receptor alpha Subunit; Male; Mice; Mice, Inbred NOD; Proto-Oncogene Proteins p21(ras); Salicylates; T-Lymphocytes, Regulatory; Up-Regulation",Journal Article
19584681,https://pubmed.ncbi.nlm.nih.gov/19584681/,2009,Type 2 diabetes mellitus phenotype and graft survival after islet transplantation.,"BACKGROUND: Body fat accumulation decreases insulin sensitivity. It has being associated with earlier onset of type 1 diabetes mellitus (DM) and islet graft failure. The aim of this study was to evaluate whether insulin resistance, characterized by risk factors for type 2 DM, can predict islet graft survival in type 1 DM islet transplant (ITx) recipients. METHODS: Demographic, anthropometrical, and laboratory data, as well as family history of type 2 DM (first degree relatives), were collected from 44 ITx recipients. Risk factors for type 2 DM, such as positive family history of type 2 DM (n=11) and overweight (body mass index >25 kg/m2; n=14), were analyzed separately and in combination, which was designated as ""type 2 DM phenotype"" (n=5). Differences in outcomes (time-to-graft dysfunction and failure) were compared using Kaplan-Meier curves. Cox regression analysis was performed to control for possible confounding factors. RESULTS: Neither positive family history of type 2 DM nor overweight at baseline could predict islet function outcomes after ITx. However, when both risk factors were grouped, the ""type 2 DM phenotype"" was associated with earlier islet graft failure (mean estimate graft survival 25.7+/-9.1 vs. 54.1+/-5.2 months, P=0.022). These results were sustained after adjustments for confounding variables (OR 5.20, 95% CI 1.12-24.0). CONCLUSIONS: Predisposition for type 2 DM can coexist with the type 1 DM phenotype and is associated with earlier decline in islet graft function. Prospective clinical trials should address whether it is associated with decreased insulin sensitivity and if insulin sensitizers play a role in prolonging islet graft survival.",Transplantation,,"Adult; Body Mass Index; Cohort Studies; Diabetes Mellitus, Type 1; Diabetes Mellitus, Type 2; Genetic Predisposition to Disease; Graft Survival; Humans; Insulin Resistance; Islets of Langerhans Transplantation; Kaplan-Meier Estimate; Male; Middle Aged; Pedigree; Phenotype; Proportional Hazards Models; Retrospective Studies; Risk Assessment; Risk Factors; Time Factors; Treatment Outcome","Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't"
19837544,https://pubmed.ncbi.nlm.nih.gov/19837544/,2009,Recovery from hind limb ischemia is less effective in type 2 than in type 1 diabetic mice: roles of endothelial nitric oxide synthase and endothelial progenitor cells.,"OBJECTIVE: We sought to directly compare the effects of type 1 and type 2 diabetes on postischemic neovascularization and evaluate the mechanisms underlying differences between these groups. We tested the hypothesis that type 2 diabetic mice have a greater reduction in endothelial nitric oxide synthase (eNOS) expression, a greater increase in oxidative stress, and reduced arteriogenesis and angiogenesis, resulting in less complete blood flow recovery than type 1 diabetic mice after induction of hind limb ischemia. METHODS: Hind limb ischemia was generated by femoral artery excision in streptozotocin-treated mice (model of type 1 diabetes), in Lepr(db/db) mice (model of type 2 diabetes), and in control (C57BL/6) mice. Dependent variables included eNOS expression and markers of arteriogenesis, angiogenesis, and oxidative stress. RESULTS: Postischemia recovery of hind limb perfusion was significantly less in type 2 than in type 1 diabetic mice; however, neither group demonstrated a significant increase in collateral artery diameter or collateral artery angioscore in the ischemic hind limb. The capillary/myofiber ratio in the gastrocnemius muscle decreased in response to ischemia in control or type 1 diabetic mice but remained the same in type 2 diabetic mice. Gastrocnemius muscle eNOS expression was lower in type 1 and 2 diabetic mice than in control mice. This expression decreased after induction of ischemia in type 2 but not in type 1 diabetic mice. The percentage of endothelial progenitor cells (EPC) in the peripheral blood failed to increase in either diabetic group after induction of ischemia, whereas this variable significantly increased in the control group in response to ischemia. EPC eNOS expression decreased after induction of ischemia in type 1 but not in type 2 diabetic mice. EPC nitrotyrosine accumulation increased after induction of ischemia in type 2 but not in type 1 diabetic mice. EPC migration in response to vascular endothelial growth factor was reduced in type 1 and type 2 diabetic mice vs control mice. EPC incorporation into tubular structures was less effective in type 2 diabetic mice. Extensive fatty infiltration was present in ischemic muscle of type 2 but not in type 1 diabetic mice. CONCLUSION: Type 2 diabetic mice displayed a significantly less effective response to hind limb ischemia than type 1 diabetic mice.",Journal of vascular surgery,,"Animals; Blood Glucose; Body Weight; Chemotaxis; Collateral Circulation; Diabetes Mellitus, Experimental; Diabetes Mellitus, Type 1; Diabetes Mellitus, Type 2; Endothelial Cells; Hindlimb; Ischemia; Mice; Mice, Inbred C57BL; Mice, Mutant Strains; Muscle, Skeletal; Neovascularization, Physiologic; Nitric Oxide Synthase Type III; Oxidative Stress; Receptors, Leptin; Recovery of Function; Regional Blood Flow; Stem Cells; Time Factors; Tyrosine; Vascular Endothelial Growth Factor A","Comparative Study; Journal Article; Research Support, N.I.H., Extramural"
20028949,https://pubmed.ncbi.nlm.nih.gov/20028949/,2010,Progression to diabetes in relatives of type 1 diabetic patients: mechanisms and mode of onset.,"OBJECTIVE: Relatives of type 1 diabetic patients are at enhanced risk of developing diabetes. We investigated the mode of onset of hyperglycemia and how insulin sensitivity and beta-cell function contribute to the progression to the disease. RESEARCH DESIGN AND METHODS: In 328 islet cell autoantibody-positive, nondiabetic relatives from the observational arms of the Diabetes Prevention Trial-1 Study (median age 11 years [interquartile range 8], sequential OGTTs (2,143 in total) were performed at baseline, every 6 months, and 2.7 years [2.7] later, when 115 subjects became diabetic. Beta-cell glucose sensitivity (slope of the insulin-secretion/plasma glucose dose-response function) and insulin sensitivity were obtained by mathematical modeling of the OGTT glucose/C-peptide responses. RESULTS: In progressors, baseline insulin sensitivity, fasting insulin secretion, and total postglucose insulin output were similar to those of nonprogressors, whereas beta-cell glucose sensitivity was impaired (median 48 pmol/min per m2 per mmol/l [interquartile range 36] vs. 87 pmol/min per m2 per mmol/l [67]; P < 0.0001) and predicted incident diabetes (P < 0.0001) independently of sex, age, BMI, and clinical risk. In progressors, 2-h glucose levels changed little until 0.78 years before diagnosis, when they started to rise rapidly (approximately 13 mmol x l(-1) x year(-1)); glucose sensitivity began to decline significantly (P < 0.0001) earlier (1.45 years before diagnosis) than the plasma glucose surge. During this anticipation phase, both insulin secretion and insulin sensitivity were essentially stable. CONCLUSIONS: In high-risk relatives, beta-cell glucose sensitivity is impaired and is a strong predictor of diabetes progression. The time trajectories of plasma glucose are frequently biphasic, with a slow linear increase followed by a rapid surge, and are anticipated by a further deterioration of beta-cell glucose sensitivity.",Diabetes,,"Adolescent; Blood Glucose; C-Peptide; Child; Child, Preschool; Diabetes Mellitus, Type 1; Disease Progression; Female; Follow-Up Studies; Glucose Intolerance; Glucose Tolerance Test; Humans; Hyperglycemia; Insulin; Insulin Resistance; Insulin Secretion; Insulin-Secreting Cells; Kaplan-Meier Estimate; Male; Models, Biological; Predictive Value of Tests; Risk Factors","Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't"
